2026-07-03T14:58:52.896Z DEBUG    armlet_logic extract_hero: flat, health=626
2026-07-03T14:58:52.896Z DEBUG    armlet_logic extract_items: slots, 1 items
2026-07-03T14:58:52.897Z INFO     server action=none hp=626/626 (100.0%) armlet=inactive reason=not_found
2026-07-03T14:58:53.240Z INFO     server RAW items: {"slot0": {"name": "item_armlet", "purchaser": 0, "item_level": 1, "can_cast": true, "cooldown": 0, "max_cooldown": 0, "passive": false}, "slot1": {"name": "empty"}, "slot2": {"name": "empty"}, "slot3": {"name": "empty"}, "slot4": {"name": "empty"}, "slot5": {"name": "empty"}, "slot6": {"name": "empty"}, "slot7": {"name": "empty"}, "slot8": {"name": "empty"}, "stash0": {"name": "empty"}, "stash1": {"name": "empty"}, "stash2": {"name": "empty"}, "stash3": {"name": "empty"}, "stash4": {"name": "em
2026-07-03T14:58:53.240Z INFO     server RAW hero items: {}
2026-07-03T14:58:53.240Z INFO     server RAW hero: {"facet": 0, "xpos": -6700, "ypos": -6700, "id": 59, "name": "npc_dota_hero_huskar", "level": 1, "xp": 0, "alive": true, "respawn_seconds": 0, "buyback_cost": 8084, "buyback_cooldown": 0, "health": 626, "max_health": 626, "health_percent": 100, "mana": 0, "max_mana": 0, "mana_percent": 100, "silence
2026-07-03T14:58:53.240Z DEBUG    armlet_logic extract_hero: flat, health=626
2026-07-03T14:58:53.240Z DEBUG    armlet_logic extract_items: slots, 2 items
2026-07-03T14:58:53.241Z INFO     armlet_logic Armlet detectado, seed inicial (max_hp=626). Estado asumido: inactivo.
2026-07-03T14:58:53.241Z INFO     server action=none hp=626/626 (100.0%) armlet=inactive reason=seeding
2026-07-03T14:58:53.525Z INFO     server RAW items: {"slot0": {"name": "item_armlet", "purchaser": 0, "item_level": 1, "can_cast": true, "cooldown": 0, "max_cooldown": 0, "passive": false}, "slot1": {"name": "item_blink", "purchaser": 0, "item_level": 1, "can_cast": true, "cooldown": 0, "max_cooldown": 0, "passive": false}, "slot2": {"name": "empty"}, "slot3": {"name": "empty"}, "slot4": {"name": "empty"}, "slot5": {"name": "empty"}, "slot6": {"name": "empty"}, "slot7": {"name": "empty"}, "slot8": {"name": "empty"}, "stash0": {"name": "empty"}, "
2026-07-03T14:58:53.525Z INFO     server RAW hero items: {}
